   ,COD_DOCUMENTO,DES_NOME_PREFERIDO,DES_NOMES_ALTERNATIVOS,DBMS_LOB.SUBSTR(S01.TXT_EMENTA
42,543319,Lei nº 1.616 de 30/12/1906,LEI-1616-1906-12-30,"Orça a receita geral da Republica dos Estados Unidos do Brazil para o exercicio de 1907, e dá outras providencias."
43,543599,Lei nº 1.841 de 31/12/1907,LEI-1841-1907-12-31,"Fixa a despeza geral da Republica dos estados Unidos do Brasil para o exercicio de 1908, e dá outras providencias."
44,543502,Lei nº 1.767 de 31/10/1907,LEI-1767-1907-10-31,Fixa as forças de terra para o exercicio de 1908
45,543526,Lei nº 1.785 de 28/11/1907,LEI-1785-1907-11-28,"Estabelece penas para o crime de peculato, e dá outras providencias."
46,543594,Lei nº 1.837 de 31/12/1907,LEI-1837-1907-12-31,"Orça a receita geral da Republica dos Estado Unidos do Brazil para o exercicio de 1908, e dá outras providencias."
47,543745,Lei nº 1.978 de 15/10/1908,LEI-1978-1908-10-15,"Determina que aos intendentes municipaes do Districto Federal, quando em sessões extraordinarias, seja abonado subsidio, e supprime a inelegibilidade constante do n. 9 do art. 57, capitulo VI, secção I, da Consolidação das Leis Federaes sobre organização municipal."
48,543824,Lei nº 2.050 de 31/12/1908,"LEI-2050-1908-12-31 , Lei Orçamentária - Despesas (1909)","Fixa a despeza geral da Republica dos Estados Unidos do Brazil para o exercicio de 1909, e dá outras providencias"
49,544000,Lei nº 2.221 de 30/12/1909,"LEI-2221-1909-12-30 , Lei Orçamentária - Despesas (1910)","Fixa a despeza geral da Republica dos Estados Unidos do Brazil para o exercicio de 1910, e dá outras providencias."
50,543858,Lei nº 2.083 de 30/07/1909,LEI-2083-1909-07-30,Reforma o Thesouro Federal e dá outras providencias.
51,544538,Lei nº 2.718-A de 31/12/1912,LEI-2718-A-1912-12-31,Fixa as forças de terra para o exercicio de 1913
52,544539,Lei nº 2.719 de 31/12/1912,"LEI-2719-1912-12-31 , Lei Orçamentária - Receitas (1913)",Orça a Receita Geral da Republica dos Estados Unidos do Brazil para o exercicio de 1913
53,544665,Lei nº 2.841 de 31/12/1913,"LEI-2841-1913-12-31 , Lei Orçamentária - Receitas (1914)",Orça a Receita Geral da Republica dos Estados Unidos do Brazil para o exercicio de 1914
54,544667,Lei nº 2.842 de 03/01/1914,"LEI-2842-1914-01-03 , Lei Orçamentária - Despesas (1914)",Fixa a Despeza Geral da Republica dos Estados Unidos do Brazil para o exercicio de 1914
55,543620,Lei nº 1.860 de 04/01/1908,LEI-1860-1908-01-04,Regula o alistamento e sorteio militar e reorganiza o Exercito
56,543794,Lei nº 2.024 de 17/12/1908,LEI-2024-1908-12-17,Reforma a lei sobre fallencias
57,543807,Lei nº 2.035 de 29/12/1908,"LEI-2035-1908-12-29 , Lei Orçamentária - Receitas (1909)","Orça a receita geral da Republica dos Estados Unidos do Brazil para o exercicio de 1909, e dá outras providencias."
58,543988,Lei nº 2.210 de 28/12/1909,"LEI-2210-1909-12-28 , Lei Orçamentária - Receitas (1910)","Orça a receita geral da Republica dos Estados Unidos do Brazil para o exercício de 1910, e dá outras providencias"
59,543889,Lei nº 2.113 de 07/10/1909,LEI-2113-1909-10-07,Fixa as forças de terra para o exercicio de 1910.
60,544149,Lei nº 2.356 de 31/12/1910,"LEI-2356-1910-12-31 , Lei Orçamentária - Despesas (1911)",Fixa a despeza geral da Republica dos Estados Unidos do Brazil para o exercicio de 1911 e dá outras providencias
61,544092,Lei nº 2.306 de 23/12/1910,LEI-2306-1910-12-23,Fixa as forças de terra para o anno de 1911
62,544109,Lei nº 2.321 de 30/12/1910,"LEI-2321-1910-12-30 , Lei Orçamentária - Receitas (1911)",Orça a receita geral da Republica dos Estados Unidos do Brazil para o exercicio de 1911 e dá outras providencias.
63,544074,Lei nº 2.290 de 13/12/1910,LEI-2290-1910-12-13,Modifica as tabellas de vencimentos dos officiaes e praças do Exercito e da Armada e dá outras providencias
64,544295,Lei nº 2.497 de 30/11/1911,LEI-2497-1911-11-30,Fixa as forças de terra para o exercicio de 1912
65,544212,Lei nº 2.416 de 28/06/1911,LEI-2416-1911-06-28,"Regula a extradição de nacionaes e estrangeiros e o processo e julgamento   dos mesmos, quando, fóra do paiz, perpetrarem algum dos crimes mencionados nesta   lei"
66,544323,Lei nº 2.524 de 31/12/1911,"LEI-2524-1911-12-31 , Lei Orçamentária - Receitas (1912)",Orça a receita geral da Republica dos Estalos Unidos do Brazil para o exercicio de 1912
67,544382,Lei nº 2.577 de 17/01/1912,LEI-2577-1912-01-17,"Torna extensivas ás obras scientificas, litterarias e artisticas editadas em paizes estrangeiros que tenham adherido ás convenções internacionaes sobre o assumpto, ou assignado tratados com o Brazil, as disposições da lei n. 496, de 1 de agosto de 1898, salvo as do art. 13, e dá outras providencias"
68,544346,Lei nº 2.544 de 04/01/1912,"LEI-2544-1912-01-04 , Lei Orçamentária - Despesas (1912)",Fixa a despeza geral da Republica dos Estados Unidos do Brazil para o exercicio de 1912
69,544559,Lei nº 2.738 de 04/01/1913,"LEI-2738-1913-01-04 , Lei Orçamentária - Despesas (1913)",Fixa a despeza geral da Republica dos Estados Unidos do Brazil para o exercicio de 1913
70,30815527,Lei nº 2.828 de 11/12/1913,LEI-2828-1913-12-11,Fixa ás forças de terra para o exercicio de 1914
71,544754,Lei nº 2.919 de 31/12/1914,"LEI-2919-1914-12-31 , Lei Orçamentária - Receitas (1915)",Orça a Receita Geral da Republica dos Estados Unidos do Brazil para o exercicio de 1915
72,573310,Lei nº 3.089 de 08/01/1916,"LEI-3089-1916-01-08 , Lei Orçamentária - Despesas (1916)",Fixa a despeza geral da Republica dos Estados Unidos do Brazil para o exercicio de 1916
73,545007,Lei nº 3.232 de 05/01/1917,"LEI-3232-1917-01-05 , Lei Orçamentária - Despesas (1917)",Fixa a despeza geral da Republica dos Estados Unidos do Brazil para o exercicio de 1917
74,30815468,Lei nº 3.454 de 06/01/1918,"LEI-3454-1918-01-06 , Lei Orçamentária - Despesas (1918)",Fixa a Despeza Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1918.
75,30812726,Lei nº 4.050 de 13/01/1920,LEI-4050-1920-01-13,"Reorganiza o Laboratorio Nacional de Analyses, crêa   laboratorios nas Alfandegas da Republica e dá outras providencias."
76,544752,Lei nº 2.918 de 30/12/1914,LEI-2918-1914-12-30,Fixa as forças de terra para o exercicio de 1915
77,544836,Lei nº 2.992 de 25/09/1915,"LEI-2992-1915-09-25 , Lei Mello Franco (1915)","Modifica os arts. 266, 277 e 278 do Codigo Penal"
78,544761,Lei nº 2.924 de 05/01/1915,"LEI-2924-1915-01-05 , Lei Orçamentária - Despesas (1915)",Fixa a Despeza Geral da Republica dos Estados Unidos do Brazil para o axercicio de 1915.
79,573282,Lei nº 3.070-A de 31/12/1915,"LEI-3070-A-1915-12-31 , Lei Orçamentária - Receitas (1916)",Orça a Receita Geral da Republica dos Estados Unidos do Brazil para o exercicio de 1916
80,544981,Lei nº 3.213 de 30/12/1916,"LEI-3213-1916-12-30 , Lei Orçamentária - Receitas (1917)",Orça a Receita Geral da Republica dos Estados Unidos do Brazil para o exercicio de 1917
81,544973,Lei nº 3.208 de 27/12/1916,LEI-3208-1916-12-27,Regula o processo eleitoral e dá outras providencias
82,573283,Lei nº 3.071 de 01/01/1916,"LEI-3071-1916-01-01 , Código Civil (1916) (CC)",Código Civil dos Estados Unidos do Brasil.
83,573364,Lei nº 3.139 de 02/08/1916,LEI-3139-1916-08-02,Prescreve o modo por que deve ser feito o alistamento eleitoral e dá outras providencias
84,573308,Lei nº 3.088 de 05/01/1916,LEI-3088-1916-01-05,Fixa as forças de terra para o exercicio de 1916
85,545261,Lei nº 3.446 de 31/12/1917,"LEI-3446-1917-12-31 , Lei Orçamentária - Receitas (1918)",Orça a Receita Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1918.
86,545202,Lei nº 3.393 de 16/11/1917,LEI-3393-1917-11-16,"Autoriza o Governo a, desde já, e até 31 de dezembro, declarar, succesivamente, o estado de sitio nas partes do territorio da União onde o exigirem as necessidades e os deveres da situação e dá outras providencias"
87,545228,Lei nº 3.414 de 12/12/1917,LEI-3414-1917-12-12,Fixa as forças de terra para o exercicio de 1918
88,544986,Lei nº 3.216 de 03/01/1917,LEI-3216-1917-01-03,Fixa as forças de terra para o exercicio de 1917
89,30819574,Lei nº 3.644 de 31/12/1918,"LEI-3644-1918-12-31 , Lei Orçamentária - Receitas (1919)",Orça a Receita Geral da Republica dos Estados Unidos do Brasil para o exercicio da 1919
90,545485,Lei nº 3.669 de 06/01/1919,LEI-3669-1919-01-06,Fixa as forças de terra para o exercicio de 1919
91,30815409,Lei nº 3.979 de 31/12/1919,"LEI-3979-1919-12-31 , Lei Orçamentária - Receitas (1920)",Orça a Receita Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1920.
92,545491,Lei nº 3.674 de 07/01/1919,"LEI-3674-1919-01-07 , Lei Orçamentária - Despesas (1919)",Fixa a Despeza Geral da Republica dos Estados Unidos do Brasil para exercicio de 1919
93,30812833,Lei nº 3.991 de 05/01/1920,"LEI-3991-1920-01-05 , Lei Orçamentária - Despesas (1920)",Fixa a Despesa Geral da Republica dos Estados Unidos do Brasil para o exercicio de 1920.
94,546110,Lei nº 4.263 de 14/01/1921,LEI-4263-1921-01-14,Regula as requisições militares
95,545860,Lei nº 4.028 de 10/01/1920,LEI-4028-1920-01-10,Fixa as forças de terra para o exercicio de 1920.
96,546072,Lei nº 4.230 de 31/12/1920,"LEI-4230-1920-12-31 , Lei Orçamentária - Receitas (1921)","Orça a Receita Geral da Republica dos Estados Unidos do Brasil, para o exercicio de 1921"
97,546121,Lei nº 4.273 de 01/02/1921,LEI-4273-1921-02-01,Reorganiza os serviços dos Correios
