   ,COD_DOCUMENTO,DES_NOME_PREFERIDO,DES_NOMES_ALTERNATIVOS,DBMS_LOB.SUBSTR(S01.TXT_EMENTA
5178,546360,Lei nº 4.508 de 30/11/1964,LEI-4508-1964-11-30,"Autoriza o Poder Executivo a abrir, pelo Ministério das Minas e Energia, o crédito especial de Cr$ 18.079.505,80, para pagamento de gratificação pela execução de trabalho de natureza especial, com risco de vida ou saúde, a funcionários do Departamento Nacional de Produção Mineral, em decorrência de mandado de segurança."
5179,546331,Lei nº 4.480 de 14/11/1964,LEI-4480-1964-11-14,"Regula a tributação, pelo imposto de renda, dos direitos de autor, da remuneração de professores e jornalistas e dos vencimentos dos magistrados."
5180,546369,Lei nº 4.517 de 02/12/1964,LEI-4517-1964-12-02,"Altera o Código da Justiça Militar, aprovado pelo Decreto-Lei número 925, de 2 de dezembro de 1938."
5181,546362,Lei nº 4.510 de 01/12/1964,LEI-4510-1964-12-01,"Reorganiza a Casa da Moeda, e dá outras providências."
5182,546381,Lei nº 4.529 de 08/12/1964,LEI-4529-1964-12-08,"Autoriza o Poder Executivo a abrir, pelo Ministério do Trabalho e Previdência Social, o crédito suplementar de Cr$ 11.400.000.000,00 (onze bilhões e quatrocentos milhões de cruzeiros), para atender ao pagamento de despesas que especifica."
5183,546372,Lei nº 4.520 de 07/12/1964,LEI-4520-1964-12-07,"Altera o parágrafo 1º do art. 4º da Lei nº 3.858, de 23 de dezembro de 1960."
5184,546238,Lei nº 4.388 de 28/08/1964,LEI-4388-1964-08-28,Modifica a legislação dos impostos de consumo e do selo e dá outras providências.
5185,546409,Lei nº 4.556 de 10/12/1964,LEI-4556-1964-12-10,Isenta do Imposto do Selo o contrato e demais atos subsequentes relativos ao empréstimo firmado pelo Departamento de Águas e Esgoto da Prefeitura Municipal de Porto Alegre com o Banco Interamericano de Desenvolvimento (B.I.D.).
5186,546323,Lei nº 4.472 de 12/11/1964,LEI-4472-1964-11-12,"Autoriza o Poder Executivo a abrir ao Poder Judiciário - Superior Tribunal Militar - o crédito suplementar de Cr$ 402.322.243,10, em reforço à dotação que especifica."
5187,546295,Lei nº 4.444 de 29/10/1964,LEI-4444-1964-10-29,"Dá o nome de ""Senador Fernandes Távora"" à ponte sobre o Rio Jaguaribe, em Limoeiro do Norte, Estado do Ceará."
5188,546221,Lei nº 4.371 de 28/07/1964,LEI-4371-1964-07-28,"Abre ao Poder Legislativo o crédito suplementar de Cr$ 11.882.465.000,00,   ao Orçamento da União para o exercício financeiro de 1964."
5189,546269,Lei nº 4.419 de 29/09/1964,LEI-4419-1964-09-29,"Isenta de imposto de importação e de consumo, equipamento e acessórios de uma estação transmissora de televisão e máquinas gravadoras (video-tape)."
5190,546367,Lei nº 4.515 de 01/12/1964,LEI-4515-1964-12-01,Dispõe sobre a Zona de Proteção de Aeroportos.
5191,546194,Lei nº 4.345 de 26/06/1964,LEI-4345-1964-06-26,Institui novos valores de vencimentos para os servidores públicos civis do Poder Executivo e dá outras providências.
5192,546351,Lei nº 4.500 de 26/11/1964,LEI-4500-1964-11-26,"Autoriza o Poder Executivo a abrir ao Poder Judiciário - Supremo Tribunal Federal - o crédito suplementar de Cr$ 1.580.200,00 em reforço de dotação que especifica."
5193,546398,Lei nº 4.545 de 10/12/1964,LEI-4545-1964-12-10,"Dispõe sobre a reestruturação administrativa do Distrito Federal, e dá outras providências."
5194,546386,Lei nº 4.533 de 08/12/1964,LEI-4533-1964-12-08,"Altera a Lei nº 1.310, de 15 de janeiro de 1951, que criou o Conselho Nacional de Pesquisas, e dá outras providências."
5195,546275,Lei nº 4.425 de 08/10/1964,LEI-4425-1964-10-08,"Cria o imposto único sobre os minerais do País; dispõe sobre o produto de sua arrecadação; institui o ""Fundo Nacional de Mineração"" e dá outras providências."
5196,546257,Lei nº 4.407 de 15/09/1964,LEI-4407-1964-09-15,Autoriza a Sociedade Brasileira de Educação a alienar terreno que lhe foi doado pela União Federal.
5197,546442,Lei nº 4.589 de 11/12/1964,LEI-4589-1964-12-11,"Extingue a Comissão do Imposto Sindical, a Comissão Técnica de Orientação Sindical cria órgãos no Ministério do Trabalho e Previdência Social, e dá outras providências."
5198,546396,Lei nº 4.543 de 10/12/1964,LEI-4543-1964-12-10,Isenta do impôsto de importação equipamento industrial.
5199,546283,Lei nº 4.433 de 20/10/1964,LEI-4433-1964-10-20,"Autoriza o Poder Executivo a abrir, pelo Ministério da Fazenda, o crédito especial de Cr$ 51.572.600,00, para atender às despesas que especifica."
5200,546210,Lei nº 4.360 de 17/07/1964,LEI-4360-1964-07-17,"Autoriza o Poder Executivo a abrir o crédito especial de Cr$ 50.000.000,00   ( cinquenta milhões de cruzeiros ) em favor das Comissões de Comércio Exterior e   Desenvolvimento Industrial, do Ministério da Indústria e Comércio."
5201,546312,Lei nº 4.461 de 07/11/1964,LEI-4461-1964-11-07,"Autoriza o Poder Executivo a abrir, pelo Ministério da Educação e Cultura,   o crédito especial de Cr$ 600.000.000,00, para atender às despesas com a   desapropriação dos bens da Fundação Gaffrée - Guinle."
5202,546223,Lei nº 4.373 de 30/07/1964,LEI-4373-1964-07-30,"Manda computar, para efeito de cálculo da percentagem-limite das   consignações em folha de pagamento, as vantagens pecuniárias acessórias de   caráter permanente."
5203,546282,Lei nº 4.432 de 20/10/1964,LEI-4432-1964-10-20,"Isenta do imposto de importação equipamento adquirido pela Rádio Bandeirantes S.A., com sede em São Paulo - S.P."
5204,546303,Lei nº 4.452 de 05/11/1964,LEI-4452-1964-11-05,"Altera a Legislação relativa ao Imposto Único sobre lubrificantes e combustíveis líquidos e gasosos, e dá outras providências."
5205,546313,Lei nº 4.462 de 07/11/1964,LEI-4462-1964-11-07,"Concede isenção dos impostos de importação e de consumo, da taxa de despacho aduaneiro, emolumentos consulares, taxas de armazenagem e capatazias sobre um aeroplano monomotor, instrumentos, máquinas, aparelhos e utensílios a serem importados pela Ordem dos Servos de Maria, e dá outras providências."
5206,546181,Lei nº 4.332 de 01/06/1964,LEI-4332-1964-06-01,Concede isenção de licença prévia e de imposto de importação e outros   tributos e taxas para donativos consignados à Associação Obras Sociais Irmã   Dulce.
5207,546364,Lei nº 4.512 de 01/12/1964,LEI-4512-1964-12-01,Isenta de imposto de importação equipamento destinado à instalação de uma usina central piloto para beneficiamento de chá.
5208,546174,Lei nº 4.325 de 16/04/1964,LEI-4325-1964-04-16,"Reverte ao Serviço Ativo do Exército o Tenente Coronel Rubens Ribeiro dos   Santos, e dá outras providências."
5209,546343,Lei nº 4.492 de 24/11/1964,LEI-4492-1964-11-24,"Concede isenção dos impostos de consumo e de importação, excetuada a taxa de despacho aduaneiro, para importação de material destinado a indústrias de fabricação de material automobilístico, motores de explosão e de combustão interna e equipamentos para produção de energia elétrica."
5210,546209,Lei nº 4.359 de 17/07/1964,LEI-4359-1964-07-17,"Inclui no art.14 da Lei nº 2.976, de 1956, os Municípios de Pelotas e Rio   Grande, no Estado do Rio Grande do Sul."
5211,546172,Lei nº 4.323 de 11/04/1964,LEI-4323-1964-04-11,"Cria a Escola ""Agrotécnica Antônio Versiani Athayde"", no Estado de Minas   Gerais, e dá outras providências."
5212,546249,Lei nº 4.399 de 31/08/1964,LEI-4399-1964-08-31,"Altera dispositivos do Decreto-Lei nº 9.295, de 27 de maio de 1946, que criou o Conselho Federal de Contabilidade, modificados pela Lei nº 570, de 22 de dezembro de 1948."
5213,546234,Lei nº 4.384 de 24/08/1964,LEI-4384-1964-08-24,Isenta da taxa de despacho aduaneiro equipamento gráfico destinado à Mitra da Arquidiocese de Porto Alegre.
5214,546422,Lei nº 4.569 de 11/12/1964,LEI-4569-1964-12-11,"Autoriza o Poder Executivo a doar à Cooperação Agrícola Samborjense Ltda., com sede na cidade de São Borja, Estado do Rio Grande do Sul, uma área de terrenos de seu domínio patrimonial, sob a administração da Viação Férrea do Rio Grande do Sul."
5215,546216,Lei nº 4.366 de 23/07/1964,LEI-4366-1964-07-23,"Autoriza o Poder Executivo a financiar, mediante empréstimos às municipalidades, o estudo e construção de sistemas públicos de abastecimento de água potável e dá outras providências."
5216,546315,Lei nº 4.464 de 09/11/1964,"LEI-4464-1964-11-09 , Lei Suplicy de Lacerda (1964)",Dispõe sobre os Órgãos de Representação dos estudantes e dá outras providências.
5217,546264,Lei nº 4.414 de 24/09/1964,LEI-4414-1964-09-24,"Regula o pagamento de juros moratórios pela União, pelos Estados, Distrito Federal, Municípios e autarquias."
5218,546266,Lei nº 4.416 de 29/09/1964,LEI-4416-1964-09-29,"Prorroga a vigência da Lei nº 1.300, de 28 de dezembro de 1950 (Lei do Inquilinato)."
5219,546376,Lei nº 4.524 de 07/12/1964,LEI-4524-1964-12-07,Isenta do imposto de importação e de consumo equipamento destinado à ampliação de usina siderúgica.
5220,546408,Lei nº 4.555 de 10/12/1964,LEI-4555-1964-12-10,"Concede isenção de direitos de importação para materiais, máquinas e equipamentos adquiridos pela Refinaria de Petróleo de Manguinhos S.A., para instalação e manutenção de sua Refinaria em Manguinhos, no Estado da Guanabara, antigo Distrito Federal."
5221,546182,Lei nº 4.333 de 01/06/1964,LEI-4333-1964-06-01,"Acrescenta um parágrafo ao artigo 853, do Código de Processo   Civil."
5222,546204,Lei nº 4.354 de 14/07/1964,LEI-4354-1964-07-14,"Revoga o Decreto-Lei nº 5298, de 3 de março de 1943, que fixa as autoridades da Aeronáutica que dispõem de Ajudantes-de-Ordens, e dá outras providências."
5223,546268,Lei nº 4.418 de 29/09/1964,LEI-4418-1964-09-29,"Altera o limite quantitativo, inclui novos doadores e amplia o prazo de vigência da Lei nº 4.184, de 17 de dezembro de 1962."
5224,546169,Lei nº 4.320 de 17/03/1964,"LEI-4320-1964-03-17 , Lei das Finanças Públicas (1964) , Lei do Direito Financeiro (1964)","Estatui Normas Gerais de Direito Financeiro para elaboração e contrôle dos orçamentos e balanços da União, dos Estados, dos Municípios e do Distrito Federal."
5225,546237,Lei nº 4.387 de 26/08/1964,LEI-4387-1964-08-26,"Estabelece a idade-limite de permanência, no serviço ativo, dos Oficiais   dos Quadros de Administração e de infantaria-de-Guarda e dos Tenentes-Coronéis   de vários Quadros de Oficiais Especialistas do Corpo de Oficiais da   Aeronáutica."
5226,546301,Lei nº 4.450 de 04/11/1964,LEI-4450-1964-11-04,Dispõe sobre os vencimentos e vantagens do Marechal João Batista Mascarenhas de Morais.
5227,546399,Lei nº 4.546 de 10/12/1964,LEI-4546-1964-12-10,"Concede isenção de direitos, imposto de consumo e taxas aduaneiras, exceto a de Previdência Social, para a importação de pertences e acessórios para órgãos, destinados à Igreja Evangélica Lutherana de São Paulo, Estado de São Paulo, e dá outras providências."
5228,546231,Lei nº 4.381 de 24/08/1964,LEI-4381-1964-08-24,"Autoriza a abertura do crédito especial de Cr$ 4.000.000.000,00 (quatro bilhões de cruzeiros) para ocorrer às despesas com a desapropriação da área da bacia hidráulica do Açude Público, Orós, no Estado do Ceará, e dá outras providências."
5229,546356,Lei nº 4.504 de 30/11/1964,"LEI-4504-1964-11-30 , Estatuto da Terra (1964)","Dispõe sôbre o Estatuto da Terra, e dá outras providências."
5230,546015,Lei nº 4.173 de 05/12/1962,LEI-4173-1962-12-05,"Autoriza o Poder Executivo a abrir, ao Tribunal de Contas, o crédito   especial de Cr$ 150.000,00 para atender a despesas com pagamento de   gratificações adicionais e salários família referentes aos exercícios de 1953,   1954, 1955, 1956 e 1957."
5231,546088,Lei nº 4.242 de 17/07/1963,LEI-4242-1963-07-17,"Fixa novos valores para os vencimentos dos servidores do Poder Executivo, Civis e Militares; institui o empréstimo compulsório; cria o Fundo Nacional de Investimentos, e dá outras providências."
5232,546037,Lei nº 4.195 de 24/12/1962,LEI-4195-1962-12-24,Concede isenção de imposto de importação para os equipamentos insdustriais a serem importados pela Companhia Brasileira de Alumínio.
5233,545909,Lei nº 4.071-A de 15/06/1962,LEI-4071-A-1962-06-15,"Dispõe sobre gratificação mensal, ao Oficiais do Registro Civil, e dá outras providências."
5234,545920,Lei nº 4.082 de 23/06/1962,LEI-4082-1962-06-23,"Autoriza o Poder Executivo a abrir, pelo Ministério da Guerra, o crédito   especial de Cr$ 8.000.000,00 para atender as despesas decorrentes de tratamento,   ambulatório e hospitalização dos ex-integrantes da Força Expedicionária   Brasileira, nos nosocômios do Exército."
5235,545898,Lei nº 4.065 de 19/05/1962,LEI-4065-1962-05-19,"Autoriza o Poder Executivo a abrir, ao Conselho de Ministros, o crédito   especial de Cr$ 30.000.000,00 para ocorrer a despesas com o seu funcionamento no   exercício de 1961."
5236,545911,Lei nº 4.073 de 22/06/1962,LEI-4073-1962-06-22,"Autoriza o Poder Executivo a abrir o crédito especial de Cr$   2.000.000.000,00 para as obras de duplicação da rodovia Presidente   Dutra."
5237,545926,Lei nº 4.088 de 12/07/1962,LEI-4088-1962-07-12,"Cria Juntas de Conciliação e Julgamento nas 2ª, 4ª, 6ª e 8ª Regiões da Justiça do Trabalho; eleva à 1ª Categoria os Tribunais Regionais do Trabalho das 7ª e 8ª Regiões; extingue as atuais funções de Suplente de Juiz do Trabalho; Presidente das Juntas de Conciliação e Julgamento, com sede em Recife; e dá outras providências."
5238,546162,Lei nº 4.313 de 23/12/1963,LEI-4313-1963-12-23,"Dá nova discriminação às rodovias BR-55 e BR-66, do Plano Rodoviário   Nacional."
5239,546156,Lei nº 4.307 de 23/12/1963,LEI-4307-1963-12-23,Federaliza a Escola Superior de Agricultura de Lavras (ESAL) e dá outras providências.
5240,546059,Lei nº 4.217 de 08/05/1963,LEI-4217-1963-05-08,"Concede pensão vitalícia de Cr$ 3.000,00 a Otília Barreto Trindade, viúva de Indalécio Trindade."
5241,546138,Lei nº 4.289 de 05/12/1963,LEI-4289-1963-12-05,"Considera patrimônio nacional a ""Chácara do Visconde"", situada na cidade de Taubaté, Estado de São Paulo."
5242,546136,Lei nº 4.287 de 03/12/1963,LEI-4287-1963-12-03,"Concede isenção fiscal à Petróleo Brasileiro S.A. e suas subsidiárias, a partir de 1º de janeiro de 1963, e dá outras providências."
5243,546159,Lei nº 4.310 de 23/12/1963,LEI-4310-1963-12-23,"Autoriza a abertura, pelo Ministério da Viação e Obras Públicas, do crédito especial de Cr$ 3.000.000.000,00 (três bilhões de cruzeiros) para execução de obras e serviços da Adutora do Rio das Velhas, em Belo Horizonte."
5244,546355,Lei nº 4.503 de 30/11/1964,LEI-4503-1964-11-30,"Institui, no Ministério da Fazenda, o cadastro geral de pessoas jurídicas, cria o Departamento de Arrecadação e dá outras providências."
5245,546349,Lei nº 4.498 de 26/11/1964,LEI-4498-1964-11-26,"Autoriza o Poder Executivo a abrir, pelo Ministério da Saúde, o crédito suplementar de Cr$ 226.403.500,00 à verba que especifica."
5246,546425,Lei nº 4.572 de 11/12/1964,LEI-4572-1964-12-11,"Estende à União dos Ferroviários do Brasil as vantagens da Lei nº 2.339, de 20 de novembro de 1954, que inclui a Associação dos Servidores Civis do Brasil e o Montepio Geral de Economia dos Servidores do Estado entre as entidades consignatárias de que trata a Lei n. 1046, de 2 de janeiro de 1950."
5247,546243,Lei nº 4.393 de 31/08/1964,LEI-4393-1964-08-31,Cria no Ministério da Educação e Cultura - Conselho Federal de Educação -   cargos em comissão de Secretário-Geral e Secretários de Câmaras.
5248,546427,Lei nº 4.574 de 11/12/1964,LEI-4574-1964-12-11,"Autoriza o Poder Executivo a abrir, pelo Ministério das Relações Exteriores, o crédito especial de Cr$ 90.000.000,00 (noventa milhões de cruzeiros) para atender às despesas urgentes de pessoal da Comissão Mista Ferroviária Brasileiro-Boliviano."
5249,546175,Lei nº 4.326 de 26/04/1964,LEI-4326-1964-04-26,Estabelece prazo para o provimento de cargos públicos.
5250,546431,Lei nº 4.578 de 11/12/1964,LEI-4578-1964-12-11,"Autoriza o Poder Executivo a abrir ao Poder Judiciário - Tribunal Superior Eleitoral - crédito especial de Cr$ 5.422.893,50 (cinco milhões, quatrocentos e vinte e dois mil, oitocentos e noventa e três cruzeiros e cinqüenta centavos), para atender a despesas com pessoal civil, salário-família e gratificações adicionais por tempo de serviço dos servidores de sua Secretaria."
5251,546402,Lei nº 4.549 de 10/12/1964,LEI-4549-1964-12-10,"Concede, pelo prazo de 24 meses, isenção de direitos alfadegários, imposto de consumo e taxa de despacho aduaneiro para importação de equipamento e material cinematográfico."
5252,546370,Lei nº 4.518 de 02/12/1964,LEI-4518-1964-12-02,Dispõe sobre associados obrigatórios do Serviço de Assistência e Seguro Social dos Economiários.
5253,546188,Lei nº 4.339 de 05/06/1964,LEI-4339-1964-06-05,"Altera o art. 1º da Lei nº 2586, de 5 de setembro de 1955, que reestrutura   o Quadro de Oficiais-Intendentes do Exército, e dá outras providências   ."
5254,546224,Lei nº 4.374 de 04/08/1964,LEI-4374-1964-08-04,"Altera disposições da Lei nº 3.860, de 24 de dezembro de 1960, que aprova o   plano de coordenação das atividades relacionadas com o carvão   mineral."
5255,546440,Lei nº 4.587 de 11/12/1964,LEI-4587-1964-12-11,"Autoriza o Poder Executivo a abrir, pelo Ministério da Agricultura, o crédito especial de Cr$ 47.130.000,00 (quarenta e sete milhões cento e trinta mil cruzeiros), destinado ao pagamento de despesas que especifica."
5256,546218,Lei nº 4.368 de 23/07/1964,LEI-4368-1964-07-23,"Institui o ""Dia Nacional dos Bancários""."
5257,546390,Lei nº 4.537 de 09/12/1964,LEI-4537-1964-12-09,Cria Juntas de Conciliação e Julgamento na 4ª Região da Justiça do Trabalho e dá outras providências.
5258,546420,Lei nº 4.567 de 11/12/1964,LEI-4567-1964-12-11,"Autoriza a abertura, pelo Ministério da Fazenda, do crédito especial de Cr$ 397.246.024,90, destinado ao ressarcimento do Banco de Crédito da Amazônia S.A. pelas despesas efetuadas com o pagamento do aumento de 25% sobre os preços de compra da borracha nacional."
5259,546352,Lei nº 4.501 de 26/11/1964,LEI-4501-1964-11-26,"Autoriza o Poder Executivo a abrir o crédito suplementar de Cr$ 36.000.000,00 (trinta e seis milhões de cruzeiros) à verba que especifica."
5260,546430,Lei nº 4.577 de 11/12/1964,LEI-4577-1964-12-11,Isenta do imposto de importação material destinado à fabricação de centrais telefônicas a ser importado pela Siemens do Brasil Companhia de Eletricidade.
5261,546437,Lei nº 4.584 de 11/12/1964,LEI-4584-1964-12-11,"Concede, pelo prazo de 4 (quatro) anos, isenção dos impostos de importação e consumo, para importação do material destinado à instalação ou ampliação da Indústria Nacional de Mecânica Pesada e dá outras providências."
5262,546385,Lei nº 4.532 de 08/12/1964,LEI-4532-1964-12-08,"Dá a denominação de ""Campo Fontenelle"" ao Aeródromo Militar de Pirassununga, Estado de São Paulo."
5263,546235,Lei nº 4.385 de 24/08/1964,LEI-4385-1964-08-24,"Isenta de taxa de despacho aduaneiro de 5% ( cinco por cento ) um computador eletrônico Burroughs e respectivos pertences, importados pela Pontifícia Universidade Católica do Rio de Janeiro."
5264,546253,Lei nº 4.403 de 14/09/1964,LEI-4403-1964-09-14,Dispõe sobre bens e direitos de Companhias de Seguro Alemãs.
5265,546335,Lei nº 4.484 de 19/11/1964,LEI-4484-1964-11-19,"Autoriza o Poder Executivo a abrir, pela Presidência da República, o crédito suplementar de Cr$ 250.340.000,00 (duzentos e cinquenta milhões, trezentos e quarenta mil cruzeiros), como reforço das verbas que enumera."
5266,546203,Lei nº 4.353 de 06/07/1964,LEI-4353-1964-07-06,Autoriza a desapropriação de bens do domínio do Estado de Minas Gerais e   dos municípios atingidos pelo reservatório a formar-se pela corredeira de   Furnas.
5267,546265,Lei nº 4.415 de 24/09/1964,LEI-4415-1964-09-24,"Altera a Lei nº 3.917, de 14 de julho de 1961, que reorganiza o Ministério das Relações Exteriores."
5268,546366,Lei nº 4.514 de 01/12/1964,LEI-4514-1964-12-01,"Modifica dispositivo do decreto-lei nº 5.252, de 16 de fevereiro de 1943, que institui com personalidade própria de natureza autárquica, o Serviço de Navegação da Bacia do Prata, e dá outras providências."
5269,546271,Lei nº 4.421 de 29/09/1964,LEI-4421-1964-09-29,"Transforma a Escola Paulista de Medicina em estabelecimento isolado de ensino superior de natureza autárquica, e dá outras providências."
5270,546228,Lei nº 4.378 de 17/08/1964,LEI-4378-1964-08-17,"Revoga a Lei nº 388, de 18 de setembro de 1948, que dispõe sobre a   promoção dos Capitães dos Quadros dos Serviços das Forças Armadas."
5271,546339,Lei nº 4.488 de 19/11/1964,LEI-4488-1964-11-19,"Autoriza o Poder Executivo a abrir, pelo Ministério da Fazenda, o crédito suplementar de Cr$ 40.000.000,00, à verba que especifica."
5272,546262,Lei nº 4.412 de 24/09/1964,LEI-4412-1964-09-24,"Concede isenção de licença, impostos e taxas que recaem na importação de uma clínica móvel de campo, completamente equipada, doada à União Norte Brasileira da Igreja Adventista do Sétimo Dia, que se encontra no Porto de Nova Iorque."
5273,546322,Lei nº 4.471 de 12/11/1964,LEI-4471-1964-11-12,"Autoriza o Poder Executivo a abrir, pelo Ministério das Relações Exteriores, o crédito especial de Cr$ 65.000.000,00, para atender às despesas decorrentes da visita ao Brasil do Presidente da República Francesa."
5274,546291,Lei nº 4.440 de 27/10/1964,LEI-4440-1964-10-27,Institui o Salário-Educação e dá outras providências.
5275,546393,Lei nº 4.540 de 10/12/1964,LEI-4540-1964-12-10,Dipõe sobre a elaboração e execução de Planos Quadrienais de Obras para a implantação do Plano Nacional de Viação.
5276,546414,Lei nº 4.561 de 11/12/1964,LEI-4561-1964-12-11,Cria cargos isolados de provimento em comissão no Quadro Permanente do Ministério da Saúde.
5277,546222,Lei nº 4.372 de 30/07/1964,LEI-4372-1964-07-30,"Autoriza o Poder Executivo a alienar o imóvel pertencente ao Patrimônio   Nacional, situado à Rua 42 da Cidade de Washington, onde estão localizados os   serviços da Chancelaria da Embaixada do Brasil nos Estados Unidos da América, e   a utilizar o produto dessa venda para custeio de uma chancelaria."
5278,546306,Lei nº 4.455 de 06/11/1964,LEI-4455-1964-11-06,"Autoriza o Poder Executivo a abrir, ao Ministério da Fazenda, o crédito   especial de Cr$ 797.904.300,00, para atender às despesas de custeio dos serviços   mecanizados do referido Ministério."
5279,546248,Lei nº 4.398 de 31/08/1964,LEI-4398-1964-08-31,"Autoriza o Poder Executivo a abrir ao Poder Judiciário - Superior Tribunal Militar - o crédito especial de Cr$ 660.814,30 (seiscentos e sessenta mil oitocentos e quatorze cruzeiros e trinta centavos) para atender a pagamentos com exercícios findos a funcionário (salário-família, ajuda de custo, diárias e etc.) e a Firmas por fornecimento de material e serviços prestados."
5280,546394,Lei nº 4.541 de 10/12/1964,LEI-4541-1964-12-10,"Concede isenção dos impostos de importação e de consumo, bem como de emolumentos consulares e demais taxas a mercadorias e materiais destinados às comemorações do IV Centenário do Rio de Janeiro."
5281,546444,Lei nº 4.591 de 16/12/1964,"LEI-4591-1964-12-16 , Lei de Incorporações Imobiliárias (1964) , Lei do Condomínio (1964)",Dispõe sobre o condomínio em edificações e as incorporações imobiliárias.
5282,546314,Lei nº 4.463 de 07/11/1964,LEI-4463-1964-11-07,Dispõe sobre o Quadro de Pessoal da Consultoria Geral da República e dá outras providências.
5283,546176,Lei nº 4.327 de 30/04/1964,"LEI-4327-1964-04-30 , Lei Mourão (1964)","Promove a General-de-Exército o General-de-Divisão Olimpio Mourão Filho, e   dá outras providências."
5284,546308,Lei nº 4.457 de 06/11/1964,LEI-4457-1964-11-06,"Eleva os limites das autorizações concedidas ao Poder Executivo pela Lei n. 1518, de 24 de dezembro de 1951, para contratar créditos ou dar a garantia do Tesouro Nacional a créditos obtidos no exterior, e dá outras providências."
5285,546206,Lei nº 4.356 de 14/07/1964,LEI-4356-1964-07-14,"Autoriza o Poder Executivo a abrir ao Poder Judiciário -   Tribunal Superior do Trabalho - o crédito suplementar de Cr$ 196.368.800,00 (cento e noventa   e seis milhões, trezentos e sessenta e oito mil e oitocentos cruzeiros) em   reforço à dotação do Orçamento vigente."
5286,546391,Lei nº 4.538 de 09/12/1964,LEI-4538-1964-12-09,"Autoriza o Poder Executivo a abrir, pelo Ministério da Educação e Cultura, o crédito especial de Cr$ 833.570.000,00, para atender a cumpromissos com o programa de expansão de matrículas no ensino superior."
5287,546247,Lei nº 4.397 de 31/08/1964,LEI-4397-1964-08-31,"Isenta dos impostos de importação e de consumo, equipamento telefônico a   ser importado pela Empresa Telefônica de Limoeiro, para instalação do serviço de   telefone na Cidade de Limoeiro, Estado de Pernambuco."
5288,546187,Lei nº 4.338 de 01/06/1964,LEI-4338-1964-06-01,Fixa o dia 25 de maio como a data comemorativa do trabalhador   rural.
5289,546353,Lei nº 4.501-A de 26/11/1964,LEI-4501-A-1964-11-26,"Retifica a Lei nº 4.295, de 16 de dezembro de 1963, que estima a Receita e fixa a Despesa para o exercício financeiro."
5290,546316,Lei nº 4.465 de 11/11/1964,LEI-4465-1964-11-11,Fixa novos valores para os símbolos dos cargos e das   funções gratificadas dos Quadros das Secretarias dos Tribunais Regionais Eleitorais e   dá outras providências.
5291,546273,Lei nº 4.423 de 08/10/1964,LEI-4423-1964-10-08,"Dá nova redação ao parágrafo único do art. 28 da Lei nº 3917, de 14 de julho de 1961 (que reorganizou o Ministério das Relações Exteriores) e dá outras providências."
5292,546400,Lei nº 4.547 de 10/12/1964,LEI-4547-1964-12-10,"Autoriza o Poder Executivo a abrir ao Ministério da Fazenda o crédito especial de Cr$ 750.000.000,00, destinado a atender às despesas com a reconstrução da Feira de Água de Meninos, Estado da Bahia."
5293,546233,Lei nº 4.383 de 24/08/1964,LEI-4383-1964-08-24,"Isenta a Petrobrás do Imposto de Transmissão ""inter-vivos"" por aquisições de imóveis no Distrito Federal."
5294,546213,Lei nº 4.363 de 17/07/1964,LEI-4363-1964-07-17,Autoriza a criação da Escola de Arquitetura da Universidade do Ceará e dá   outras providências.
5295,546270,Lei nº 4.420 de 29/09/1964,LEI-4420-1964-09-29,"Concede Pensão especial de Cr$ 6.720,00 (Seis mil setecentos e vinte cruzeiros) a Nicolau Janrô, ex-extranumerário-diarista do Ministério da Marinha."
5296,546333,Lei nº 4.482 de 14/11/1964,LEI-4482-1964-11-14,"Concede isenção dos impostos de importação e de consumo para os equipamentos, suas peças e sobressalentes, destinados à instalação ou ampliação de indústrias complementares de construção naval."
5297,546389,Lei nº 4.536 de 09/12/1964,LEI-4536-1964-12-09,"Autoriza o Poder Executivo a abrir, pelo Ministério da Fazenda, o crédito especial de Cr$ 10.221.025,50, para atender às despesas que especifica."
5298,546325,Lei nº 4.474 de 12/11/1964,LEI-4474-1964-11-12,Altera o Quadro da Secretaria do Tribunal de Contas da União.
5299,546252,Lei nº 4.402 de 10/09/1964,LEI-4402-1964-09-10,"Transfere para a Universidade do Brasil o Escritório Técnico da Cidade Universidade, da Divisão de Edifícios Públicos do Departamento Administrativo do Serviço Público, e dá outras providências."
5300,546220,Lei nº 4.370 de 28/07/1964,LEI-4370-1964-07-28,Aprova normas para revisão de preços em contratos de obras ou serviços a cargo de órgãos do Governo Federal e dá outras providências.
5301,546254,Lei nº 4.404 de 14/09/1964,LEI-4404-1964-09-14,"Dispõe sobre a nacionalidade de menor estrangeiro residente no País, filho de pais estrangeiros naturalizados brasileiros e aqui domiciliados."
5302,546445,Lei nº 4.592 de 29/12/1964,LEI-4592-1964-12-29,Aprova o Plano Nacional de Viação.
5303,546397,Lei nº 4.544 de 10/12/1964,LEI-4544-1964-12-10,Orça a Receita e fixa a Despesa do Distrito Federal para o exercício financeiro de 1965.
5304,546289,Lei nº 4.439 de 27/10/1964,LEI-4439-1964-10-27,"Fixa os vencimentos de Magistrados, membros do Ministério Público e do Serviço Jurídico da União, e dá outras providências."
